{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process'}
{'pid': 5380, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 5540, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'CAudioFilterAgent64.exe'}
{'pid': 5592, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'RuntimeBroker.exe'}
{'pid': 5616, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 5632, 'username': None, 'name': 'unsecapp.exe'}
{'pid': 5768, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'sihost.exe'}
{'pid': 5872, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 6168, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'DolbyDAX2TrayIcon.exe'}
{'pid': 6428, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 6452, 'username': None, 'name': 'svchost.exe'}
{'pid': 6476, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'svchost.exe'}
{'pid': 6488, 'username': None, 'name': 'svchost.exe'}
{'pid': 6504, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'MSASCuiL.exe'}
{'pid': 6652, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'svchost.exe'}
{'pid': 6696, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'Creative Cloud.exe'}
{'pid': 6708, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'SearchUI.exe'}
{'pid': 6720, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'ShellExperienceHost.exe'}
{'pid': 6772, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'conhost.exe'}
{'pid': 7004, 'username': None, 'name': 'SearchIndexer.exe'}
{'pid': 7064, 'username': None, 'name': 'DolbyDAX2API.exe'}
{'pid': 7272, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'Explorer.exe'}
{'pid': 7316, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'WSHelper.exe'}
{'pid': 7352, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'ETDCtrlHelper.exe'}
{'pid': 7360, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 7364, 'username': None, 'name': 'svchost.exe'}
{'pid': 7376, 'username': None, 'name': 'APCONSVC.EXE'}
{'pid': 7500, 'username': None, 'name': 'svchost.exe'}
{'pid': 7544, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'OneDrive.exe'}
{'pid': 7564, 'username': None, 'name': 'EMON.EXE'}
{'pid': 7608, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'ETDIntelligent.exe'}
{'pid': 7748, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'figma_agent.exe'}
{'pid': 7848, 'username': None, 'name': 'svchost.exe'}
{'pid': 7956, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'rundll32.exe'}
{'pid': 7996, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 8000, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'cmd.exe'}
{'pid': 8124, 'username': None, 'name': 'svchost.exe'}
{'pid': 8184, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'igfxEM.exe'}
{'pid': 8360, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 8372, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'conhost.exe'}
{'pid': 8376, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'DolbyDAX2Toast.exe'}
{'pid': 8440, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 8456, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'studio64.exe'}
{'pid': 8484, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'SkypeBackgroundHost.exe'}
{'pid': 8524, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'RuntimeBroker.exe'}
{'pid': 8548, 'username': None, 'name': 'NPAVIDS.EXE'}
{'pid': 8552, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
{'pid': 8688, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe'}
