{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'}
{'pid': 6168, 'name': 'DolbyDAX2TrayIcon.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 6428, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 6452, 'name': 'svchost.exe', 'username': None}
{'pid': 6476, 'name': 'svchost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 6488, 'name': 'svchost.exe', 'username': None}
{'pid': 6504, 'name': 'MSASCuiL.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 6652, 'name': 'svchost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 6696, 'name': 'Creative Cloud.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 6708, 'name': 'SearchUI.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 6720, 'name': 'ShellExperienceHost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 6772, 'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 7004, 'name': 'SearchIndexer.exe', 'username': None}
{'pid': 7064, 'name': 'DolbyDAX2API.exe', 'username': None}
{'pid': 7204, 'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 7252, 'name': 'RdrCEF.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 7272, 'name': 'Explorer.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 7316, 'name': 'WSHelper.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 7352, 'name': 'ETDCtrlHelper.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 7360, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 7364, 'name': 'svchost.exe', 'username': None}
{'pid': 7376, 'name': 'APCONSVC.EXE', 'username': None}
{'pid': 7500, 'name': 'svchost.exe', 'username': None}
{'pid': 7544, 'name': 'OneDrive.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 7564, 'name': 'EMON.EXE', 'username': None}
{'pid': 7608, 'name': 'ETDIntelligent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 7748, 'name': 'figma_agent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 7780, 'name': 'AcroRd32.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 7956, 'name': 'rundll32.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
{'pid': 7996, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri'}
