--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0}
{'name': 'DolbyDAX2Toast.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8376}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8440}
{'name': 'studio64.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8456}
{'name': 'SkypeBackgroundHost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8484}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8524}
{'name': 'NPAVIDS.EXE', 'username': None, 'pid': 8548}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8552}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8688}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8696}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8700}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8748}
{'name': 'CoreSync.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8788}
{'name': 'AdobeIPCBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8816}
{'name': 'ApplicationFrameHost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8948}
{'name': 'CCXProcess.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 8992}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9060}
{'name': 'pycharm64.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9080}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9348}
{'name': 'ZVMonNt.exe', 'username': None, 'pid': 9424}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9428}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9624}
{'name': 'node.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9696}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9716}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9736}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9740}
{'name': 'notepad.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9772}
{'name': 'FEDIT.EXE', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9800}
{'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9856}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 9884}
{'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 10028}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 10148}
